Dataset,Model,Train RMSE,Test RMSE,Train MAE,Test MAE,Train R²,Test R²,CV RMSE,CV Std,Time (s),Features
v1,LightGBM,0.741426821372307,0.8408201425771864,0.560860043376521,0.6264563816195393,0.3525961769919742,0.2112972794841388,0.8113097375764976,0.026042452256100072,0.38164496421813965,119
v2,LightGBM,0.4858936238457609,0.8440434081840726,0.3738939855846808,0.6279998246082333,0.7219511684996622,0.2052387398393768,0.8136494641607672,0.029343669049851945,1.5016851425170898,807
v2,Random Forest,0.5229840169135569,0.8457118703618505,0.38322123632105837,0.6309818527359051,0.6778816193930383,0.20209354682302005,0.8184163515545805,0.02807914282081203,36.399343967437744,807
v1,Random Forest,0.7083173061586358,0.8462100300008503,0.5363816591574139,0.6276603895878613,0.40912668058368096,0.2011532694728213,0.811468068856281,0.024992325882598233,0.4032750129699707,119
v2,XGBoost,0.42455308078952164,0.8473208872077774,0.3321144463164028,0.6314083725183375,0.7877231338051105,0.19905453019072072,0.8221758338340484,0.027740192227683157,3.677480936050415,807
v1,XGBoost,0.6820254264632146,0.8503868953873368,0.5237880822993183,0.63385359003512,0.4521775753002847,0.19324764321000276,0.8167985987701221,0.026101437272609024,0.30477309226989746,119
v1,Ridge,0.8062752666390852,0.8503965870616366,0.6120821355185552,0.6346610016675144,0.23439396303325266,0.1932292543432892,0.818962774119651,0.02968853451335582,0.006274223327636719,119
v1,Linear Regression,0.8062722117354664,0.8504638249411929,0.6120928840315746,0.6346992381749764,0.2343997646454783,0.19310167222559416,0.8191499605258017,0.029685828778673994,0.03211474418640137,119
v2,Ridge,0.7493023404839333,0.8520497714771064,0.5705382848234803,0.635032951655324,0.33876953839889234,0.19008945521775988,0.824215607565017,0.03344671206950567,0.06445789337158203,807
v1,ElasticNet,0.8171063210540707,0.8530022323378801,0.6210390911009812,0.638881161876881,0.21368635061171326,0.18827773182226637,0.820204766786158,0.030293702238601505,0.013316154479980469,119
v2,ElasticNet,0.8172617060516606,0.853244385399901,0.6211791585685468,0.639085508346428,0.21338726355615534,0.18781679766408665,0.8203087355480569,0.030259475156786165,0.14295077323913574,807
v1,Lasso,0.8186985547379201,0.8539754239745245,0.6226915468764477,0.6410684978904246,0.21061890423246532,0.18642448472212148,0.8213534709473758,0.030141518350129032,0.015942096710205078,119
v2,Lasso,0.8186985547379201,0.8539754239745245,0.6226915468764477,0.6410684978904246,0.21061890423246532,0.18642448472212148,0.8213534709473758,0.030141518350129032,0.11291909217834473,807
v2,Linear Regression,0.7450175417257558,0.8663568500422987,0.5688870947778266,0.64777406211395,0.34631025602924936,0.16266209412176447,0.8457351561585463,0.036789348154705595,0.3581259250640869,807
v1,Decision Tree,0.7641578062409361,0.8991605793046228,0.5835132317652497,0.6602175301027176,0.31229088247983283,0.09805170554222964,0.8563631901880366,0.017318163091684106,0.046465158462524414,119
v2,Decision Tree,0.7267745657582403,0.9478302217886441,0.556837646401332,0.6944035968307272,0.37793163680572917,-0.002231916924484434,0.9162665776873382,0.019799874790687025,4.360121726989746,807
